iteration,bin,avg_density,avg_velocity_x,avg_velocity_y,avg_velocity_z
18000,14,3.56667,0.832464,-147.013,2.53676
18000,15,4.06667,-0.325571,-172.703,-1.27636
18000,16,4.7,3.83217,-198.861,3.00246
18000,17,4.73333,0.339493,-199.626,-0.217022
18000,18,4.43333,-2.76943,-195.583,-2.22017
18000,19,4.73333,-1.26416,-205.586,2.27671
18000,20,4.56667,-1.8206,-192.22,-1.81311
18000,21,5.03333,-1.13326,-219.321,-1.11399
18000,22,5.46667,3.37535,-236.766,3.35087
18000,23,4.93333,-1.89055,-217.338,0.492944
18000,24,5.33333,-1.24049,-232.618,3.93113
18000,25,5.16667,0.194425,-225.231,-0.27527
18000,26,4.83333,2.15289,-212.095,0.731317
18000,27,5.3,-1.33666,-228.698,-3.05104
18000,28,5.16667,-0.535236,-221.499,0.588825
18000,29,4.93333,-3.20692,-213.657,0.99592
18000,30,5.03333,-6.87571,-221.052,-1.4938
18000,31,4.5,-1.51883,-194.197,-1.7177
18000,32,4.6,-1.70789,-195.139,1.06422
18000,33,4.6,-6.10872,-194.374,3.18486
18000,34,4.63333,1.61454,-192.435,2.20289
18000,35,3.5,-4.31794,-145.866,-2.7481
18000,36,4.03333,0.24818,-165.625,0.434246
18000,37,3.86667,0.949226,-157.377,1.5061
18000,38,3.5,1.90279,-139.689,0.662686
18000,39,3.7,-1.48658,-150.841,2.87987
18000,40,3.23333,0.881202,-129.817,-1.56177
18000,41,3.46667,1.37424,-136.615,-2.41556
18000,42,3.3,2.25409,-130.434,2.62431
18000,43,4.26667,-0.907861,-165.374,0.489093
18000,44,0.466667,-2.09949,-16.2777,0.86934
18000,45,12,0,0,0
18000,46,0,0,0,0
18000,47,12,0,0,0
18000,48,0,0,0,0
18000,49,0,0,0,0
20000,0,0,0,0,0
20000,1,12,0,0,0
20000,2,0,0,0,0
20000,3,12,0,0,0
20000,4,1.83333,3.06223,-78.473,2.95015
20000,5,3.7,3.11104,-165.165,-2.95994
20000,6,3.2,1.29734,-141.914,-3.61528
20000,7,3.6,0.0970057,-158.112,-0.196908
20000,8,3.7,-4.40286,-165.928,0.689108
20000,9,3.6,-1.08724,-161.641,-3.85665
20000,10,3.63333,0.769607,-162.179,3.65828
20000,11,3.53333,-3.49568,-160.566,4.98307
20000,12,4.33333,-2.97753,-193.846,0.883412
20000,13,4.6,-1.14782,-216.382,3.00521
20000,14,3.53333,-1.57312,-163.509,0.672185
20000,15,4.53333,-3.67575,-210.632,-2.15652
20000,16,4.43333,0.0515409,-213.325,1.5864
20000,17,4.53333,1.05752,-216.497,0.604016
20000,18,4.5,-3.61008,-217.549,0.310122
20000,19,4.16667,1.31412,-199.518,-2.64111
20000,20,5.13333,-1.69989,-248.839,0.230412
20000,21,4.36667,-1.99966,-210.538,-0.588529
20000,22,4.73333,1.35919,-227.239,-0.603663
20000,23,5,-0.353151,-240.414,-0.0780991
20000,24,5.36667,3.55672,-264.771,-1.02609
20000,25,4.56667,2.4039,-220.108,5.30786
20000,26,5.16667,-0.44104,-245.04,1.15304
20000,27,5.2,-0.96042,-247.38,0.55086
20000,28,4.36667,-0.808504,-210.187,-2.73458
20000,29,4.76667,-0.253715,-231.883,-0.157842
20000,30,5.23333,0.25143,-247.04,2.3206
20000,31,4.4,-1.68528,-212.17,-1.84986
20000,32,4.23333,3.05424,-201.724,-2.87683
20000,33,3.8,4.3434,-179.254,2.31815
20000,34,4.36667,2.66539,-207.232,-0.739555
20000,35,4.03333,3.52282,-191.464,0.475752
20000,36,4.03333,-2.29865,-181.949,0.755514
20000,37,4.16667,0.270386,-190.825,1.09362
20000,38,3.8,0.0524031,-169.622,1.97395
20000,39,3.2,-1.26981,-143.184,1.19922
20000,40,3.86667,2.37617,-171.663,-0.183799
20000,41,3.63333,-3.99599,-159.725,5.87319
20000,42,3.26667,0.764107,-150.297,-0.103056
20000,43,3.93333,-2.7737,-174.162,-2.44995
20000,44,0.6,2.44075,-28.2898,-1.40014
20000,45,12,0,0,0
20000,46,0,0,0,0
20000,47,12,0,0,0
20000,48,0,0,0,0
20000,49,0,0,0,0
22000,0,0,0,0,0
22000,1,12,0,0,0
22000,2,0,0,0,0
22000,3,12,0,0,0
22000,4,1.8,-1.54729,-87.6375,0.453251
22000,5,3.56667,-3.43018,-171.748,-2.92339
22000,6,3.56667,-1.80964,-172.879,4.01381
22000,7,3.16667,5.91522,-159.292,-2.97821
22000,8,3.26667,-1.72964,-165.727,-2.31294
22000,9,4.03333,-5.82244,-199.116,0.894587
22000,10,3.83333,-0.301499,-197.463,2.55337
22000,11,3.63333,0.201305,-185.809,5.78332
22000,12,3.76667,0.541473,-188.64,-3.30739
22000,13,3.9,0.107117,-200.539,-1.45531
22000,14,4.06667,-0.181815,-211.734,-3.2329
22000,15,4.3,2.98771,-222.667,2.97542
22000,16,4.36667,1.77098,-228.089,-0.239404
22000,17,4.06667,3.37436,-213.159,-1.00878
22000,18,4.73333,2.51837,-246.693,1.80186
22000,19,4.73333,0.974863,-250.329,0.629888
22000,20,4.5,-2.03435,-234.989,1.59477
22000,21,4.46667,2.40208,-237.072,3.41857
22000,22,4.66667,1.51273,-250.768,-3.3877
22000,23,5.06667,4.40157,-269.17,0.832734
22000,24,5.16667,0.155453,-275.749,-1.84297
22000,25,4.83333,-0.220882,-260.461,0.71062
22000,26,5.1,0.0373607,-269.406,2.25334
22000,27,4.73333,4.68419,-250.086,-0.806099
22000,28,4.9,6.19554,-257.954,1.38125
22000,29,4.56667,3.23077,-239.096,3.99846
22000,30,4.1,2.95786,-215.347,1.45512
22000,31,4.8,2.17242,-256.83,0.0388798
22000,32,4.46667,-1.29077,-231.275,-0.136884
22000,33,4.83333,-3.11631,-254.698,-4.44182
22000,34,4.06667,-1.30346,-211.978,1.91835
22000,35,4.13333,5.16873,-215.07,4.13113
22000,36,4.26667,0.588589,-211.301,-2.92848
22000,37,3.83333,0.921715,-193.004,0.205
22000,38,4.16667,-3.41669,-215.096,-1.86115
22000,39,3.5,-0.909295,-175.02,2.18507
22000,40,3.96667,2.35857,-199.854,1.23815
22000,41,3.43333,-0.437447,-173.679,4.98685
22000,42,3.4,2.29213,-170.584,-1.40598
22000,43,4.7,-3.96524,-235.324,4.32617
22000,44,0.2,0.0202123,-9.22053,-0.63424
22000,45,12,0,0,0
22000,46,0,0,0,0
22000,47,12,0,0,0
22000,48,0,0,0,0
22000,49,0,0,0,0
24000,0,0,0,0,0
24000,1,12,0,0,0
24000,2,0,0,0,0
24000,3,12,0,0,0
24000,4,1.76667,0.225309,-96.7642,-0.276811
24000,5,3.56667,0.916384,-195.928,-1.91842
24000,6,3.4,0.511468,-184.949,-4.41747
24000,7,3.56667,0.58406,-194.61,-2.48728
24000,8,3.46667,-2.06181,-191.232,-0.585023
24000,9,3.33333,-0.831925,-183.498,-1.73982
24000,10,3.56667,-0.904534,-201.486,0.410139
24000,11,3.86667,-0.765356,-219.024,1.63119
24000,12,4.26667,-3.49895,-236.592,0.03448
24000,13,4.2,-1.14912,-240.438,-0.507487
24000,14,3.56667,-1.85042,-204.179,-1.34624
24000,15,3.96667,1.23019,-222.954,2.88177
24000,16,4.16667,1.95133,-235.59,1.61988
24000,17,4.16667,-3.07008,-238.174,2.49208
24000,18,4.36667,1.80574,-249.777,2.05563
24000,19,4.36667,3.57124,-249.774,-0.575501
24000,20,4.6,-0.0940826,-264.396,-1.94223
24000,21,4.76667,-1.42757,-278.085,5.47581
24000,22,4.1,0.733184,-239.929,1.40567
24000,23,4.6,-4.77018,-266.379,-1.21567
24000,24,4.86667,0.0620213,-280.988,0.468556
24000,25,5.23333,1.40573,-307.429,3.27658
24000,26,4.56667,-1.86436,-263.883,-0.354737
24000,27,5.03333,5.17293,-293.543,-0.471343
24000,28,4.36667,1.3918,-251.817,1.62566
24000,29,4.9,0.12002,-280.706,-0.480896
24000,30,4.63333,2.22369,-265.926,-1.21893
24000,31,4.4,-0.817228,-251.837,3.22289
